Drug;Neutral SMILES;SMILES at pH 7;Category;;;;;;
CHEMBL1813267;;COC(=O)C(\C)=C1\[C@H]2C3=C(C[C@H]4[C@@]5(C)[C@@H]6C[C@@H]6[C@@]6(O)COC(=O)\C(C)=C\COC(=O)CCC(=O)OCC7=C(C[C@H]56)[C@@]24OC7=O)[C@H]2C[C@H]2[C@]3(C)[C@@H](O)C1=O;CHEMBL;;;;;;
CHEMBL1813268;;COC(=O)C(\C)=C1\[C@H]2C3=C(C[C@H]4[C@@]5(C)[C@@H]6C[C@@H]6[C@@]6(O)COC(=O)\C=C(C)\COC(=O)CCC(=O)OCC7=C(C[C@H]56)[C@@]24OC7=O)[C@H]2C[C@H]2[C@]3(C)[C@@H](O)C1=O;CHEMBL;;;;;;
CHEMBL1813329;;CO[C@H]1CC\C(C)=C\[C@@H]2OC(=O)C(C)=C2CC\C(C)=C\CC[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1813330;;CCCO[C@H]1CC\C(C)=C\[C@@H]2OC(=O)C(C)=C2CC\C(C)=C\CC[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1813331;;CCCCO[C@H]1CC\C(C)=C\[C@@H]2OC(=O)C(C)=C2CC\C(C)=C\CC[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1813332;;CC1=C2CC\C(C)=C\CC[C@](C)(O)[C@@H](O)CC\C(C)=C\[C@@H]2OC1=O;CHEMBL;;;;;;
CHEMBL1813333;;CC1=C2CC\C(C)=C\CCC(=C)C(=O)CC\C(C)=C\[C@@H]2OC1=O;CHEMBL;;;;;;
CHEMBL1813334;;CC1=C2CC\C(C)=C\CCC(=C)[C@@H](O)CC\C(C)=C\[C@@H]2OC1=O;CHEMBL;;;;;;
CHEMBL1813335;;CCCCNC(=O)O[C@H]1CC\C(C)=C\[C@@H]2OC(=O)C(C)=C2CC\C(C)=C\CCC1=C;CHEMBL;;;;;;
CHEMBL1813336;;CCCCCNC(=O)O[C@H]1CC\C(C)=C\[C@@H]2OC(=O)C(C)=C2CC\C(C)=C\CCC1=C;CHEMBL;;;;;;
CHEMBL1813337;;CC1=C2CC\C(C)=C\CCC(=C)[C@H](CC\C(C)=C\[C@@H]2OC1=O)OC(=O)NCCCCl;CHEMBL;;;;;;
CHEMBL1813338;;CC1=C2CC\C(C)=C\CCC(=C)[C@H](CC\C(C)=C\[C@@H]2OC1=O)OC(=O)NC1CCCCC1;CHEMBL;;;;;;
CHEMBL1813339;;CC1=C2CC\C(C)=C\CCC(=C)[C@H](CC\C(C)=C\[C@@H]2OC1=O)OC(=O)N(CC=C)C(=O)N(CC=C)C(=O)NCC=C;CHEMBL;;;;;;
CHEMBL1813340;;CC1=C2CC\C(C)=C\CCC(=C)[C@H](CC\C(C)=C\[C@@H]2OC1=O)OC(=O)Nc1ccccc1;CHEMBL;;;;;;
CHEMBL1813392;;C[C@@H]1NC(=O)[C@H](CO)NC(=O)CCCCCC[C@@H](CC1=O)C([O-])=O;CHEMBL;;;;;;
CHEMBL1813561;;CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(c2)\C=C/Cc2ccccc2S(=O)(=O)[N-]C1=O;CHEMBL;;;;;;
CHEMBL1813562;;CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(c2)\C=C/c2ccccc2S(=O)(=O)[N-]C1=O;CHEMBL;;;;;;
CHEMBL1813563;;CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(c2)\C=C\c2ccccc2S(=O)(=O)[N-]C1=O;CHEMBL;;;;;;
CHEMBL1813564;;CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(CCCc3ccccc3S(=O)(=O)[N-]C1=O)c2;CHEMBL;;;;;;
CHEMBL1813565;;CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(c2)\C=C/CC2(CC2)S(=O)(=O)[N-]C1=O;CHEMBL;;;;;;
CHEMBL1813566;;CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(c2)\C=C/CCCS(=O)(=O)[N-]C1=O;CHEMBL;;;;;;
CHEMBL1813567;;CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(c2)\C=C\CCCS(=O)(=O)[N-]C1=O;CHEMBL;;;;;;
CHEMBL1813568;;CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(c2)\C=C/CCCS(=O)(=O)[N-]C1=O;CHEMBL;;;;;;
CHEMBL1813569;;CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(c2)\C=C/CCS(=O)(=O)[N-]C1=O;CHEMBL;;;;;;
CHEMBL1813570;;CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(c2)\C=C\CCCCS(=O)(=O)[N-]C1=O;CHEMBL;;;;;;
CHEMBL1813571;;CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(c2)\C=C\CCCCS(=O)(=O)[N-]C1=O;CHEMBL;;;;;;
CHEMBL1813735;;CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(c2)\C=C/CCCCS(=O)(=O)[N-]C1=O;CHEMBL;;;;;;
CHEMBL1813736;;CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(CCCCCCS(=O)(=O)[N-]C1=O)c2;CHEMBL;;;;;;
CHEMBL1813737;;CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(C\C=C\CCS(=O)(=O)[N-]C1=O)c2;CHEMBL;;;;;;
CHEMBL1813738;;CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(nc4cc(OC)ccc34)-c3ccccc3)c(C\C=C\CS(=O)(=O)[N-]C1=O)c2;CHEMBL;;;;;;
CHEMBL1814224;;O[C@]1(C[n+]2cccnc2N1C1CCCCCCCCCCC1)c1ccc(Cl)cc1;CHEMBL;;;;;;
CHEMBL1814226;;O[C@]1(C[n+]2cccnc2N1C1CCCCCCCCCCC1)c1ccc(cc1)[N+]([O-])=O;CHEMBL;;;;;;
CHEMBL1814281;;CCCCCCCC[C@H](C)[C@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@@H](C)NC(=O)[C@H](CC(N)=O)NC(=O)\C(NC(=O)[C@H](CC(N)=O)NC(=O)\C(NC(=O)[C@@H](NC(=O)[C@@H]1O)C(C)C)=C/C)=C/C)[C@@H](C)O;CHEMBL;;;;;;
CHEMBL1814282;;C\C=C1\NC(=O)[C@H](CC(N)=O)NC(=O)\C(NC(=O)[C@@H](NC(=O)[C@H](O)[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@@H](C)NC(=O)[C@H](CC(N)=O)NC1=O)[C@@H](C)O)[C@@H](C)CCCCCCCCCl)C(C)C)=C/C;CHEMBL;;;;;;
CHEMBL1814283;;CCC(=O)CCCCCCCCC[C@H](C)[C@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@@H](C)NC(=O)[C@H](CC(N)=O)NC(=O)\C(NC(=O)[C@H](CC(N)=O)NC(=O)\C(NC(=O)[C@@H](NC(=O)[C@@H]1O)C(C)C)=C/C)=C/C)[C@@H](C)O;CHEMBL;;;;;;
CHEMBL1814284;;CCC(O)CCCCCCCCC[C@H](C)[C@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@@H](C)NC(=O)[C@H](CC(N)=O)NC(=O)\C(NC(=O)[C@H](CC(N)=O)NC(=O)\C(NC(=O)[C@@H](NC(=O)[C@@H]1O)C(C)C)=C/C)=C/C)[C@@H](C)O;CHEMBL;;;;;;
CHEMBL1814342;;CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(=[NH2+])NS(=O)(=O)c2c(C)c3CC(C)(C)Oc3c(C)c2C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]([NH3+])CCC(N)=O)[C@@H](C)OC(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(OC(C)(C)C)cc2)NC(=O)[C@H](CCC(=O)NC(c2ccccc2)(c2ccccc2)c2ccccc2)NC1=O)[C@@H](C)OC(C)(C)C;CHEMBL;;;;;;
CHEMBL1814344;;CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2CCC(=O)N2)[C@@H](C)OC(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(N)=O)NC1=O)[C@@H](C)O;CHEMBL;;;;;;
CHEMBL1814345;;CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2CCC(=O)N2)[C@@H](C)OC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCNC(N)=[NH2+])NC1=O)[C@@H](C)O;CHEMBL;;;;;;
CHEMBL1814384;;C[C@H]1\C=C\C=C/C(=O)NC2=C(C)C(=O)c3c(C2=O)c(O)c(C)c([O-])c3C(=O)\C(C)=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](O)[C@H](C)[C@H]1O;CHEMBL;;;;;;
CHEMBL1814385;;C[C@H]1\C=C\C=C/C(=O)NC2=C(C)C(=O)c3c(cc(C)c([O-])c3C(=O)\C(C)=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](O)[C@H](C)[C@H]1O)C2=O;CHEMBL;;;;;;
CHEMBL1814386;;C[C@H]1\C=C\C=C/C(=O)NC2=C(C)C(=O)c3c(C2=O)c(O)c(C)c([O-])c3C(=O)\C(C)=C\[C@H](CO)[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](O)[C@H](C)[C@H]1O;CHEMBL;;;;;;
CHEMBL1814387;;C[C@H]1\C=C\C=C/C(=O)NC2=C(C)C(=O)c3c4[C@H](O)[C@@](C)(Oc4c(C)c(O)c3C2=O)O\C=C\[C@H](O)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@H]1O;CHEMBL;;;;;;
CHEMBL1814484;;CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2CCC(=O)N2)[C@@H](C)OC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCNC(N)=[NH2+])NC1=O)[C@@H](C)O;CHEMBL;;;;;;
CHEMBL181452;;CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C)OC(=O)NC\C=C\c1ccc(cc1)-c1ccccn1;CHEMBL;;;;;;
CHEMBL1814545;;CC(C)C[C@@H]1NC(=O)[C@@H]2O[C@H](CNC(=O)[C@@H](NC(=O)[C@H](CCC[NH3+])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC[NH3+])NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC[NH3+])NC(=O)[C@@H](NC(=O)[C@H](CCC[NH3+])NC1=O)C(C)C)C(C)C)C(C)C)[C@@H](OCc1ccccc1)[C@@H]2OCc1ccccc1;CHEMBL;;;;;;
CHEMBL1814546;;CC(C)C[C@@H]1NC(=O)[C@@H]2O[C@H](CNC(=O)[C@@H](NC(=O)[C@H](CCC[NH3+])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC[NH3+])NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC[NH3+])NC(=O)[C@@H](NC(=O)[C@H](CCC[NH3+])NC1=O)C(C)C)C(C)C)C(C)C)[C@@H](OCc1ccccc1)[C@@H]2O;CHEMBL;;;;;;
CHEMBL1814547;;CC(C)C[C@@H]1NC(=O)[C@@H]2O[C@H](CNC(=O)[C@@H](NC(=O)[C@H](CCC[NH3+])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC[NH3+])NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC[NH3+])NC(=O)[C@@H](NC(=O)[C@H](CCC[NH3+])NC1=O)C(C)C)C(C)C)C(C)C)[C@@H](O)[C@@H]2O;CHEMBL;;;;;;
CHEMBL1814548;;CC(C)C[C@@H]1NC(=O)[C@@H]2O[C@H](CNC(=O)[C@@H](NC(=O)[C@@H](CCC[NH3+])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC[NH3+])NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC[NH3+])NC(=O)[C@@H](NC(=O)[C@H](CCC[NH3+])NC1=O)C(C)C)C(C)C)C(C)C)[C@@H](OCc1ccccc1)[C@@H]2OCc1ccccc1;CHEMBL;;;;;;
CHEMBL1814549;;CC(C)C[C@@H]1NC(=O)[C@@H]2O[C@H](CNC(=O)[C@@H](NC(=O)[C@@H](CCC[NH3+])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC[NH3+])NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC[NH3+])NC(=O)[C@@H](NC(=O)[C@H](CCC[NH3+])NC1=O)C(C)C)C(C)C)C(C)C)[C@@H](OCc1ccccc1)[C@@H]2O;CHEMBL;;;;;;
CHEMBL1814550;;CC(C)C[C@@H]1NC(=O)[C@@H]2O[C@H](CNC(=O)[C@@H](NC(=O)[C@@H](CCC[NH3+])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC[NH3+])NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC[NH3+])NC(=O)[C@@H](NC(=O)[C@H](CCC[NH3+])NC1=O)C(C)C)C(C)C)C(C)C)[C@@H](O)[C@@H]2O;CHEMBL;;;;;;
CHEMBL181512;;CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)\C(=N/O)[C@H](C)[C@H]2NC(=O)O[C@]12C)OC(=O)NCCOCc1ccc(cc1)-c1ncccn1;CHEMBL;;;;;;
CHEMBL18154;;C(N1CCC[NH2+]CCNCCC[NH2+]CC1)c1cc(CN2CCC[NH2+]CCNCCC[NH2+]CC2)c2ccccc2n1;CHEMBL;;;;;;
CHEMBL181646;;CCC(C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C\C=C(C)\C(O[C@H]3C[C@H](OC)C(O[C@H]4C[C@H](OC)[C@@H](OCC([O-])=O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)\C=C\C=C3/CO[C@@H]4[C@H](O)C(C)=CC(C(=O)O1)C34O)O2;CHEMBL;;;;;;
CHEMBL181681;;CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C)OC(=O)NC\C=C\c1cn(cn1)-c1ncccn1;CHEMBL;;;;;;
CHEMBL1817684;;CCOc1ccc(Cc2cc3[C@@H]4O[C@H](COCCCCOc3cc2Cl)[C@@H](O)[C@H](O)[C@H]4O)cc1;CHEMBL;;;;;;
CHEMBL1817685;;Cc1ccc(cc1)S(=O)(=O)N1CCC[NH+](CC2CCCCC2)CCCNCC(=C)C1;CHEMBL;;;;;;
CHEMBL1817690;;CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([NH3+])CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)N(C)OC)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC[NH3+])C(=O)NCC(N)=O;CHEMBL;;;;;;
CHEMBL1817691;;CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([NH3+])CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)NO)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC[NH3+])C(=O)NCC(N)=O;CHEMBL;;;;;;
CHEMBL1817693;;CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([NH3+])CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)NC)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC[NH3+])C(=O)NCC(N)=O;CHEMBL;;;;;;
CHEMBL1817694;;CCNC(=O)C[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([NH3+])CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC[NH3+])C(=O)NCC(N)=O)[C@@H](C)CC;CHEMBL;;;;;;
CHEMBL1817695;;CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([NH3+])CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)N(C)C)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC[NH3+])C(=O)NCC(N)=O;CHEMBL;;;;;;
CHEMBL1817696;;CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([NH3+])CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)NO)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC[NH3+])C(=O)NCC(N)=O;CHEMBL;;;;;;
CHEMBL1817697;;CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([NH3+])CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)NCCO)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC[NH3+])C(=O)NCC(N)=O;CHEMBL;;;;;;
CHEMBL1817698;;CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([NH3+])CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)NCCCO)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC[NH3+])C(=O)NCC(N)=O;CHEMBL;;;;;;
CHEMBL1817699;;CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([NH3+])CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)NC(CO)CO)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC[NH3+])C(=O)NCC(N)=O;CHEMBL;;;;;;
CHEMBL1817700;;CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([NH3+])CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)NCC(C)O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC[NH3+])C(=O)NCC(N)=O;CHEMBL;;;;;;
CHEMBL1817701;;CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([NH3+])CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)NCCOCCO)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC[NH3+])C(=O)NCC(N)=O;CHEMBL;;;;;;
CHEMBL1817750;;CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([NH3+])CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)NC)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC[NH3+])C(=O)NCC(N)=O;CHEMBL;;;;;;
CHEMBL1817751;;CCNC(=O)C[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([NH3+])CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC[NH3+])C(=O)NCC(N)=O)[C@@H](C)CC;CHEMBL;;;;;;
CHEMBL1819095;;CCOc1ccc(Cc2cc3[C@@H]4O[C@H](COC\C=C/COc3cc2Cl)[C@@H](O)[C@H](O)[C@H]4O)cc1;CHEMBL;;;;;;
CHEMBL1819096;;CCOc1ccc(Cc2cc3[C@@H]4O[C@H](COCCCCCOc3cc2Cl)[C@@H](O)[C@H](O)[C@H]4O)cc1;CHEMBL;;;;;;
CHEMBL1819097;;CCOc1ccc(Cc2cc3[C@@H]4O[C@H](COCCCCCCOc3cc2Cl)[C@@H](O)[C@H](O)[C@H]4O)cc1;CHEMBL;;;;;;
CHEMBL1819099;;CCc1ccc(Cc2cc3[C@@H]4O[C@H](COCCCCOc3cc2Cl)[C@@H](O)[C@H](O)[C@H]4O)cc1;CHEMBL;;;;;;
CHEMBL181911;;C1CCCNc2cc[n+](CCCCC[n+]3ccc(NCC1)c1ccccc31)c1ccccc21;CHEMBL;;;;;;
CHEMBL181912;;C1CNc2cc[n+](Cc3cccc(C[n+]4ccc(NC1)c1ccccc41)c3)c1ccccc21;CHEMBL;;;;;;
CHEMBL1819181;;Cc1ccc(cc1)S(=O)(=O)N1CCC[NH+](Cc2ccccc2)CCCN(CC(=C)C1)S(=O)(=O)c1ccc(C)cc1;CHEMBL;;;;;;
CHEMBL1819182;;Cc1ccc(cc1)S(=O)(=O)N1CCC[NH+](CC2CCCCC2)CCCN(CC(=C)C1)S(=O)(=O)c1ccc(C)cc1;CHEMBL;;;;;;
CHEMBL1819183;;CN(C)c1cccc2c(cccc12)S(=O)(=O)N1CCC[NH+](CC2CCCCC2)CCCN(CC(=C)C1)S(=O)(=O)c1ccc(C)cc1;CHEMBL;;;;;;
CHEMBL1819184;;Cc1ccc(cc1)S(=O)(=O)N1CCC[NH+](CC2CCCCC2)CCCN(CC(=C)C1)S(=O)(=O)c1ccc(cc1)C(C)(C)C;CHEMBL;;;;;;
CHEMBL1819185;;Cc1ccc(cc1)S(=O)(=O)N1CCC[NH+](CC2CCCCC2)CCCN(CC(=C)C1)S(=O)(=O)c1ccc(Cl)cc1;CHEMBL;;;;;;
CHEMBL1819186;;Cc1ccc(cc1)S(=O)(=O)N1CCC[NH+](CC2CCCCC2)CCCN(CC(=C)C1)S(=O)(=O)c1cccc2cnccc12;CHEMBL;;;;;;
CHEMBL1819187;;COc1ccc(cc1)S(=O)(=O)N1CCC[NH+](CC2CCCCC2)CCCN(CC(=C)C1)S(=O)(=O)c1ccc(C)cc1;CHEMBL;;;;;;
CHEMBL1819188;;Cc1ccc(cc1)S(=O)(=O)N1CCC[NH+](CC2CCCCC2)CCCN(CC(=C)C1)S(=O)(=O)c1cccc2ccccc12;CHEMBL;;;;;;
CHEMBL1819189;;Cc1ccc(cc1)S(=O)(=O)N1CCC[NH+](CC2CCCCC2)CCCN(CC(=C)C1)S(=O)(=O)c1ccc2ccccc2c1;CHEMBL;;;;;;
CHEMBL1819190;;Cc1ccc(cc1)S(=O)(=O)N1CCC[NH+](CC2CCCCC2)CCCN(CC(=C)C1)S(=O)(=O)c1ccc(cc1)[N+]([O-])=O;CHEMBL;;;;;;
CHEMBL1819191;;Cc1ccc(cc1)S(=O)(=O)N1CCC[NH+](CC2CCCCC2)CCCN(CC(=C)C1)S(=O)(=O)c1ccccc1;CHEMBL;;;;;;
CHEMBL1819192;;COc1ccc(cc1)S(=O)(=O)N1CCC[NH+](Cc2ccccc2)CCCN(CC(=C)C1)S(=O)(=O)c1ccc(C)cc1;CHEMBL;;;;;;
CHEMBL1819193;;COc1ccc(cc1)S(=O)(=O)N1CCC[NH+](CC2CCCCC2)CCCN(CC(=C)C1)S(=O)(=O)c1cccc2c(cccc12)N(C)C;CHEMBL;;;;;;
CHEMBL1819194;;Cc1ccc(cc1)S(=O)(=O)N1CCC[NH+](CC2CCCCC2)CCCN(CC(=C)C1)S(=O)(=O)c1ccccc1[N+]([O-])=O;CHEMBL;;;;;;
CHEMBL1819195;;COc1ccc(cc1)S(=O)(=O)N1CCC[NH+](CC2CCCCC2)CCCN(CC(=C)C1)S(=O)(=O)c1ccc(OC)cc1;CHEMBL;;;;;;
CHEMBL1819196;;CCc1ccc(Cc2cc3[C@@H]4O[C@H](COCCCCCOc3cc2Cl)[C@@H](O)[C@H](O)[C@H]4O)cc1;CHEMBL;;;;;;
CHEMBL1819197;;CCc1ccc(Cc2cc3[C@@H]4O[C@H](COCCCCCCOc3cc2Cl)[C@@H](O)[C@H](O)[C@H]4O)cc1;CHEMBL;;;;;;
CHEMBL1819198;;CSc1ccc(Cc2cc3[C@@H]4O[C@H](COCCCCOc3cc2Cl)[C@@H](O)[C@H](O)[C@H]4O)cc1;CHEMBL;;;;;;
CHEMBL1819199;;CSc1ccc(Cc2cc3[C@@H]4O[C@H](COCCCCCOc3cc2Cl)[C@@H](O)[C@H](O)[C@H]4O)cc1;CHEMBL;;;;;;
